libXv	1.0.2
libXxf86dga	1.0.1
libXxf86misc	1.0.1
libXxf86vm	1.0.1
lib-compat	1.4
linux-atm	2.4.1
linux-headers	2.6.15
lipstik	2.2
lirc	0.8.0
lirc-drivers	0.8.0
live555	20060215
lmpcm_usb	0.5.4
Locale-gettext	1.05
lsof	4.75
lsscsi	0.18
ltmodem	8.31_alpha10
ltrace	0.3.36
lua	5.0.3
lzma	4.27.1
lzo	2.02
m4	1.4.7
m560x	0.0_20061202
m560x-firmware	0.0_20061202
macromedia-flash	9.0.21.78
madplay	0.15.2b
madwifi-ng	0.9.2.1
make	3.81
man	1.6d
man-pages	2.42
mc	4.6.1
mDNSResponder	107.1
memtest86	1.65
memusage	2.3.5
microcode-ctl	1.15
mingetty	1.0
minicom	2.2
miscfiles	1.4.2
mit-kerberos	1.5
mjpegtools	1.8.0
mkinitramfs	0.2
module-init-tools	3.2.2
mpeg2vidcodec	12
mpg123	0.60
mplayerplug-in	3.31
mplayer	0.0_20061209
mtools	3.9.10
mudur	1.10
musicbrainz	2.1.4
nano	2.0.1
nasm	0.98.39
nas	1.7
ncftp	3.2.0
ncompress	4.2.4.1
ncurses	5.5
ndiswrapper	1.30
neon	0.25.4
netcat	0.7.1
netpbm	10.34
network-manager	1.10
Net-SSLeay	1.25
net-tools	1.60
nfs-utils	1.0.10
nmap	4.20
normalize	0.7.6
nspr	4.6.3
nss	3.11.3
nss-mdns	0.7
ntfsprogs	1.13.1
ntfs_3g	0.0_20061212
ntp-client	4.2.2_p4
ode	0.6
openal	0.0.8
openexr	1.2.2
openldap-client	2.3.28
openobex	1.3
openoffice	2.0.4.6
openslp	1.2.1
openssh	4.5_p1
openssl	0.9.7l
package-manager	1.1
pam	0.99.6.3
pango	1.15.0
pardus-support	1.0
parted	1.7.1
patch	2.5.9
pciutils	2.2.3
pcmciautils	014
perl	5.8.8
piksemel	1.3
pilot-link	0.11.8
pinentry	0.7.2
pisi	1.1
pkgconfig	0.20.0
PolicyKit	0.2_20060725
poppler	0.5.3
popt	1.7
portaudio	18.1
portmap	5b
poster	0.1
ppp	2.4.2
